,StringNumber,Number,trueBox,predBox,IOU,Detected,TrueClass,Pred_text,True_text,txt_corr
0,0,0,"[1309, 1897, 1701, 2092]","[991, 993, 2982, 3833]",0.013610937943961697,0,1,0,0,0
1,1,1,"[697, 1952, 1138, 2152]","[555, 551, 2192, 2222]",0.03243905217589428,0,1,0,0,0
2,2,2,"[1462, 3070, 2380, 3458]","[832, 704, 2867, 3173]",0.018064445404175334,0,1,0,0,0
3,3,3,"[1415, 3470, 2197, 3675]","[1291, 1213, 2187, 3067]",0.0,0,1,0,0,0
4,4,4,"[617, 287, 791, 342]","[265, 307, 708, 598]",0.02432861256390668,0,1,0,0,0
5,5,5,"[1123, 2032, 1804, 2310]","[628, 797, 2073, 2099]",0.022867399065107197,0,1,0,0,0
6,6,6,"[428, 622, 612, 676]","[142, 142, 543, 629]",0.004517507776636501,0,1,0,0,0
7,7,7,"[1115, 1611, 1703, 1805]","[532, 604, 2580, 2191]",0.03529859746045561,0,1,0,0,0
8,8,8,"[1631, 1854, 1988, 2008]","[712, 853, 2922, 3601]",0.009129589329716378,0,1,0,0,0
9,9,9,"[370, 236, 507, 268]","[256, 246, 583, 488]",0.03914459079473139,0,1,0,186248,0
10,10,10,"[563, 571, 1131, 739]","[445, 446, 966, 784]",0.33330892439575677,0,1,0,1327067,0
11,11,11,"[359, 269, 492, 300]","[223, 79, 474, 476]",0.03679911174557855,0,1,0,1305741,0
12,12,12,"[762, 491, 898, 529]","[288, 289, 679, 663]",0.0,0,1,0,0,0
13,13,13,"[415, 188, 541, 245]","[251, 315, 451, 387]",0.0,0,1,0,0,0
14,14,14,"[237, 191, 390, 226]","[102, 170, 354, 253]",0.18839808408728048,0,1,0,1389497,0
15,15,15,"[326, 297, 445, 323]","[63, 46, 394, 391]",0.016025944309198358,0,1,0,827707,0
16,16,16,"[335, 253, 467, 284]","[190, 159, 509, 401]",0.05473251028806585,0,1,0,957887,0
17,17,17,"[249, 264, 387, 294]","[268, 272, 423, 283]",0.3037333895802573,0,1,0,1073521,0
18,18,18,"[295, 214, 375, 232]","[125, 78, 152, 147]",0.0,0,1,0,1453881,0
19,19,19,"[224, 320, 393, 358]","[118, 123, 367, 348]",0.07083488821793263,0,1,0,1328299,0
20,20,20,"[393, 151, 508, 194]","[212, 97, 296, 293]",0.0,0,1,0,0,0
21,21,21,"[501, 376, 598, 424]","[186, 155, 379, 332]",0.0,0,1,0,0,0
22,22,22,"[506, 199, 544, 330]","[257, 172, 369, 359]",0.0,0,1,0,0,0
23,23,23,"[266, 412, 438, 455]","[182, 175, 531, 437]",0.047265772771216005,0,1,0,1653537,0
24,24,24,"[426, 350, 570, 418]","[249, 262, 493, 473]",0.08195203744781933,0,1,0,0,0
25,25,25,"[248, 403, 394, 443]","[250, 415, 353, 434]",0.3451136552181848,0,1,0,1459254,0
26,26,26,"[258, 367, 426, 407]","[300, 246, 549, 418]",0.11578315396246554,0,1,0,1524526,0
27,27,27,"[272, 264, 406, 298]","[268, 162, 413, 375]",0.1512290359749072,0,1,0,1205101,0
28,28,28,"[192, 186, 291, 222]","[154, 109, 454, 252]",0.08536360280546328,0,1,0,0,0
29,29,29,"[529, 225, 626, 274]","[123, 95, 378, 352]",0.0,0,1,0,0,0
30,30,30,"[73, 259, 159, 324]","[68, 76, 316, 359]",0.0811980315628712,0,1,0,0,0
31,31,31,"[281, 365, 416, 398]","[75, 98, 246, 352]",0.0,0,1,0,1491332,0
32,32,32,"[154, 367, 306, 427]","[136, 139, 448, 403]",0.06535668517727466,0,1,0,0,0
33,33,33,"[267, 355, 388, 384]","[187, 179, 486, 466]",0.04236111111111111,0,1,0,1713829,0
34,34,34,"[260, 370, 430, 407]","[257, 314, 459, 444]",0.24435001692174632,0,1,0,1677437,0
35,35,35,"[270, 286, 439, 335]","[181, 175, 383, 317]",0.10767096602815737,0,1,0,982182,0
36,36,36,"[262, 250, 397, 281]","[262, 261, 349, 276]",0.3235294117647059,0,1,0,1182671,0
37,37,37,"[325, 212, 407, 235]","[176, 186, 489, 386]",0.031561935545203916,0,1,0,1377728,0
38,38,38,"[265, 298, 369, 324]","[173, 247, 338, 311]",0.08229406624831202,0,1,0,0,0
39,39,39,"[219, 375, 440, 427]","[58, 68, 362, 400]",0.034164636316351395,0,1,0,1128134,0
40,40,40,"[335, 327, 425, 349]","[72, 291, 376, 340]",0.035094001790510296,0,1,0,958216,0
41,41,41,"[227, 285, 351, 316]","[86, 72, 470, 342]",0.038338045718119516,0,1,0,1387863,0
42,42,42,"[141, 350, 289, 400]","[197, 154, 346, 384]",0.08347438067394984,0,1,0,0,0
43,43,43,"[287, 298, 412, 332]","[192, 229, 348, 318]",0.07553080403759137,0,1,0,1421527,0
44,44,44,"[177, 289, 293, 330]","[218, 163, 298, 310]",0.1097833223900197,0,1,0,0,0
45,45,45,"[291, 281, 418, 307]","[210, 289, 377, 387]",0.08966639544344995,0,1,0,0,0
46,46,46,"[283, 289, 389, 313]","[174, 194, 453, 389]",0.04874271137026239,0,1,0,1389497,0
47,47,47,"[401, 259, 529, 292]","[222, 257, 319, 349]",0.0,0,1,0,0,0
48,48,48,"[54, 271, 168, 337]","[108, 113, 277, 368]",0.08670287241715813,0,1,0,0,0
49,49,49,"[162, 415, 269, 468]","[247, 356, 497, 485]",0.03336915636754433,0,1,0,0,0
50,50,50,"[286, 236, 399, 267]","[207, 60, 440, 273]",0.07284926911095135,0,1,0,1219413,0
51,51,51,"[287, 362, 461, 418]","[211, 186, 419, 403]",0.11182959300114112,0,1,0,1089446,0
52,52,52,"[402, 301, 526, 351]","[187, 170, 423, 442]",0.01603911141607342,0,1,0,0,0
53,53,53,"[263, 370, 416, 404]","[244, 308, 415, 394]",0.23141145864843607,0,1,0,1901578,0
54,54,54,"[174, 245, 262, 286]","[193, 251, 302, 305]",0.3467253714914695,0,1,0,0,0
